0x110	0x10	1.99966
0x111	0x10	2.95259
0x112	0x12	2.92583
0x113	0x2	3.34246
0x114	0x4	2.91139
0x115	0x1	3.13846
0x116	0x4	3.43965
0x117	0x14	3.56066
0x118	0x8	2.91252
0x119	0x19	3.26558
0x11a	0x8	3.23195
0x11b	0x13	3.46227
0x11c	0x10	3.08025
0x11d	0x10	3.51423
0x11e	0xe	3.39187
0x11f	0x1d	3.99876
0x120	0x20	1.99966
0x121	0x1	2.65771
0x122	0x2	2.92583
0x123	0x22	3.55884
0x124	0x20	2.88242
0x125	0x20	3.35601
0x126	0x22	3.37022
0x127	0x2	3.73171
0x128	0x28	2.23255
0x129	0x8	2.65724
0x12a	0x2a	3.16699
0x12b	0x29	3.4389
0x12c	0x8	3.02542
0x12d	0xc	3.29785
0x12e	0xc	3.41849
0x12f	0xe	3.67992
0x130	0x10	2.86415
0x131	0x30	3.44431
0x132	0x32	2.72682
0x133	0x10	3.42392
0x134	0x14	3.02299
0x135	0x34	3.48767
0x136	0x6	3.30681
0x137	0x36	3.42571
0x138	0x28	2.95008
0x139	0x1	3.32232
0x13a	0x2	3.09649
0x13b	0x1a	3.59321
0x13c	0xc	3.15656
0x13d	0x2d	3.41471
0x13e	0x1c	3.49475
0x13f	0x1d	3.55118
0x140	0x0	1.99961
0x141	0x41	2.90798
0x142	0x42	2.7799
0x143	0x41	3.46618
0x144	0x44	2.93653
0x145	0x4	2.80776
0x146	0x44	3.32218
0x147	0x6	3.12895
0x148	0x8	2.63129
0x149	0x9	3.34747
0x14a	0x2	2.48926
0x14b	0x41	3.31334
0x14c	0x44	3.29298
0x14d	0x48	3.34962
0x14e	0x2	3.11006
0x14f	0x6	3.78668
0x150	0x40	2.86229
0x151	0x1	3.43889
0x152	0x12	3.16699
0x153	0x12	3.77168
0x154	0x10	2.79068
0x155	0x11	3.11611
0x156	0x54	3.12357
0x157	0x13	3.45452
0x158	0x58	3.28377
0x159	0x1	3.31747
0x15a	0x50	3.01685
0x15b	0x5a	3.59934
0x15c	0x4	3.0169
0x15d	0x19	3.31341
0x15e	0x12	3.4419
0x15f	0x57	3.57984
0x160	0x60	2.65763
0x161	0x41	3.47153
0x162	0x40	3.23203
0x163	0x2	3.26541
0x164	0x20	3.34593
0x165	0x24	3.3233
0x166	0x2	3.27932
0x167	0x47	3.53551
0x168	0x8	3.11599
0x169	0x41	3.32715
0x16a	0x8	3.0171
0x16b	0x6a	3.8559
0x16c	0x4c	3.32155
0x16d	0x68	3.63909
0x16e	0x6a	3.38878
0x16f	0x47	3.58389
0x170	0x10	2.74699
0x171	0x71	3.28325
0x172	0x42	3.09682
0x173	0x43	3.59874
0x174	0x10	3.14839
0x175	0x55	3.53987
0x176	0x26	3.87304
0x177	0x50	3.55714
0x178	0x10	3.1739
0x179	0x58	3.46699
0x17a	0x72	3.60429
0x17b	0x28	3.57998
0x17c	0x2c	3.19184
0x17d	0x39	3.51997
0x17e	0x1a	3.62263
0x17f	0x4f	3.85194
0x180	0x80	1.99951
0x181	0x80	2.94773
0x182	0x82	2.93944
0x183	0x2	2.80121
0x184	0x4	2.92765
0x185	0x84	3.43747
0x186	0x2	2.75879
0x187	0x2	3.16098
0x188	0x88	2.92066
0x189	0x88	3.55875
0x18a	0x8	3.32193
